station_std_id,1_code,2_code,3_code,4_code,5_code,1_ratio,2_ratio,3_ratio,4_ratio,5_ratio,building_cnt,area
108900086,1,4,3,\N,\N,0.99414,0.0043,0.00157,\N,\N,175,98103.1
108900087,1,2,5,6,4,0.72203,0.17149,0.03005,0.0296,0.02132,3062,842088.0
108900088,11,1,38,4,2,0.27961,0.24483,0.13538,0.12095,0.09312,262,492967.1
108900089,38,1,2,3,4,0.46852,0.28953,0.17695,0.02567,0.01438,2473,2368269.1
108900090,1,2,4,3,\N,0.97029,0.02436,0.00392,0.00143,\N,205,107713.2
108900091,1,2,3,6,4,0.6132,0.185,0.07577,0.06135,0.02882,2144,781068.3
108900092,11,1,38,4,2,0.29153,0.27933,0.14115,0.12611,0.10755,234,472797.0
108900093,38,1,2,3,6,0.43427,0.33964,0.16231,0.02036,0.01171,2829,2555089.4
108900094,1,2,3,4,11,0.48796,0.19857,0.15536,0.04916,0.02963,1746,1027811.1
108900095,1,11,2,4,5,0.55071,0.26041,0.10432,0.05686,0.01448,702,346057.6
108900096,1,2,6,3,4,0.52668,0.22422,0.10583,0.05102,0.0464,853,417690.2
108900097,11,1,38,4,2,0.37405,0.18353,0.147,0.12681,0.10718,180,454002.0
108900098,1,2,4,6,3,0.49502,0.26931,0.07807,0.07024,0.04537,1016,514066.9
108900099,11,1,38,2,19,0.3575,0.16842,0.15172,0.06815,0.01924,144,439854.5
108900100,1,2,11,5,6,0.5094,0.1759,0.09863,0.08533,0.02893,2990,1265241.0
108900101,1,2,4,3,6,0.69586,0.19904,0.06143,0.01724,0.01113,1315,521016.6
108900102,1,3,2,8,11,0.39988,0.28768,0.24777,0.05216,0.00689,683,488769.2
108900103,1,2,11,5,6,0.51512,0.1403,0.12298,0.11672,0.04753,1682,732761.9
108900104,1,2,11,5,4,0.47699,0.17394,0.12486,0.10423,0.0307,2062,999472.2
108900105,1,2,3,6,4,0.53183,0.20928,0.10717,0.08044,0.03527,1150,549510.3
108900106,11,1,2,19,6,0.4531,0.16323,0.06137,0.02438,0.01649,127,347113.2
108900108,1,65,4,11,2,0.52287,0.12756,0.11414,0.09266,0.07852,1690,979830.5
108900109,1,5,2,6,4,0.54425,0.18071,0.13787,0.08087,0.02425,1197,466494.5
108900110,11,1,38,2,4,0.34428,0.1602,0.14609,0.08124,0.02628,163,456823.6
108900111,11,1,2,4,6,0.48547,0.14627,0.03808,0.0321,0.01767,98,323971.8
108900112,1,65,4,11,2,0.4693,0.17694,0.1304,0.11686,0.0612,1104,706396.9
108900113,1,2,3,8,4,0.54483,0.22131,0.10947,0.04699,0.02569,1417,677433.2
108900114,1,6,2,3,4,0.65078,0.15443,0.12315,0.03789,0.02214,730,238944.0
